PassengerId,Survived
892,1
893,0
894,0
895,1
896,0
897,0
898,0
899,1
900,0
901,1
902,1
903,1
904,0
905,0
906,0
907,0
908,1
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,1
928,0
929,0
930,0
931,1
932,0
933,0
934,0
935,1
936,0
937,0
938,0
939,0
940,1
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,1
949,1
950,1
951,0
952,0
953,0
954,1
955,0
956,0
957,1
958,0
959,0
960,0
961,0
962,0
963,1
964,1
965,0
966,1
967,0
968,1
969,1
970,1
971,0
972,0
973,0
974,1
975,0
976,0
977,0
978,0
979,1
980,1
981,0
982,1
983,0
984,1
985,1
986,0
987,0
988,0
989,0
990,1
991,1
992,0
993,0
994,0
995,1
996,0
997,0
998,1
999,0
1000,1
1001,1
1002,1
1003,0
1004,0
1005,0
1006,1
1007,1
1008,0
1009,1
1010,0
1011,0
1012,0
1013,0
1014,1
1015,0
1016,1
1017,0
1018,0
1019,0
1020,1
1021,0
1022,0
1023,1
1024,0
1025,0
1026,1
1027,1
1028,0
1029,0
1030,1
1031,1
1032,0
1033,0
1034,1
1035,1
1036,0
1037,0
1038,0
1039,0
1040,1
1041,1
1042,0
1043,0
1044,1
1045,0
1046,1
1047,0
1048,0
1049,0
1050,0
1051,1
1052,1
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,1
1060,0
1061,1
1062,0
1063,0
1064,0
1065,0
1066,1
1067,0
1068,1
1069,1
1070,1
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,1
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,1
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,1
1101,1
1102,0
1103,0
1104,0
1105,1
1106,1
1107,0
1108,1
1109,1
1110,0
1111,1
1112,0
1113,0
1114,0
1115,0
1116,0
1117,1
1118,0
1119,1
1120,0
1121,0
1122,1
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,1
1131,0
1132,0
1133,0
1134,1
1135,1
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,1
1146,0
1147,0
1148,0
1149,0
1150,0
1151,1
1152,1
1153,0
1154,1
1155,0
1156,1
1157,0
1158,0
1159,0
1160,1
